step,loss
50,1.292100
100,1.257700
150,1.147400
200,1.079100
250,1.011100
300,0.984500
350,0.956100
400,0.971500
450,0.965400
500,0.977000
550,0.959800
600,0.956200
650,0.933900
700,0.946500
750,0.932400
800,0.947500
850,0.971000
900,0.953400
950,0.951800
1000,0.943800
1050,0.935400
1100,0.938000
1150,0.931900
1200,0.941800
1250,0.939800
1300,0.956300
1350,0.948200
1400,0.932800
1450,0.964200
1500,0.924700
1550,0.947900
1600,0.939100
1650,0.920400
1700,0.925600
1750,0.955100
1800,0.917600
1850,0.948400
1900,0.944300
1950,0.944600
2000,0.916100
2050,0.932900
2100,0.925200
2150,0.945500
2200,0.948900
2250,0.937200
2300,0.941500
2350,0.929300
2400,0.929400
2450,0.933300
2500,0.931200
2550,0.941300
2600,0.939100
2650,0.939100
2700,0.933300
2750,0.949900
2800,0.941800
2850,0.921700
2900,0.933700
2950,0.957800
3000,0.944800
3050,0.938200
3100,0.919000
3150,0.913800
3200,0.934500
3250,0.902000
3300,0.914300
3350,0.918700
3400,0.933700
3450,0.911100
3500,0.945900
3550,0.943200
3600,0.949700
3650,0.942500
3700,0.916600
3750,0.924100
3800,0.928400
3850,0.950800
3900,0.920200
3950,0.918200
4000,0.922000
4050,0.931700
4100,0.911700
4150,0.953100
4200,0.922800
4250,0.922900
4300,0.935000
4350,0.940500
4400,0.922000
4450,0.933700
4500,0.930300
4550,0.934600
4600,0.926700
4650,0.918700
4700,0.929700
4750,0.907700
4800,0.914100
4850,0.944900
4900,0.930000
4950,0.923200
5000,0.921900
5050,0.936200
5100,0.906000
5150,0.944100
5200,0.943200
5250,0.915900
5300,0.932500
5350,0.958400
5400,0.935600
5450,0.918000
5500,0.927200
5550,0.918000
5600,0.925900
5650,0.924900
5700,0.936000
5750,0.913200
5800,0.898000
5850,0.912300
5900,0.906100
5950,0.945600
6000,0.932200
6050,0.934100
6100,0.925700
6150,0.932500
6200,0.917600
6250,0.939800
6300,0.924600
6350,0.919300
6400,0.911500
6450,0.928900
6500,0.942300
6550,0.920400
6600,0.926700
6650,0.933100
6700,0.906100
6750,0.933000
6800,0.934400
6850,0.940200
6900,0.925600
6950,0.900500
7000,0.930500
7050,0.914700
7100,0.958100
7150,0.928300
7200,0.943100
7250,0.936300
7300,0.910700
7350,0.925600
7400,0.931800
7450,0.930100
7500,0.927800
7550,0.923900
7600,0.920100
7650,0.919600
7700,0.923400
7750,0.917700
7800,0.925600
7850,0.924500
7900,0.921100
7950,0.922200
8000,0.948900
8050,0.923300
8100,0.928200
8150,0.926100
8200,0.909800
8250,0.923300
8300,0.928700
8350,0.933500
8400,0.939300
8450,0.907900
8500,0.934800
8550,0.931800
8600,0.945000
8650,0.930300
8700,0.940500
8750,0.929900
8800,0.918700
8850,0.920300
8900,0.926600
8950,0.917000
9000,0.919400
9050,0.909700
9100,0.904100
9150,0.941600
9200,0.899900
9250,0.915400
9300,0.924000
9350,0.930100
9400,0.933400
9450,0.909500
9500,0.928500
9550,0.910000
